Country	CTRY	Year	Birth_rate
United States	USA	1950	2.934
United States	USA	1951	3.1095
United States	USA	1952	3.2083
United States	USA	1953	3.2774
United States	USA	1954	3.39
United States	USA	1955	3.4356
United States	USA	1956	3.5371
United States	USA	1957	3.6147
United States	USA	1958	3.568
United States	USA	1959	3.5787
United States	USA	1960	3.5495
United States	USA	1961	3.5172
United States	USA	1962	3.3867
United States	USA	1963	3.2699
United States	USA	1964	3.1383
United States	USA	1965	2.8592
United States	USA	1966	2.658
United States	USA	1967	2.5223
United States	USA	1968	2.4386
United States	USA	1969	2.4302
United States	USA	1970	2.4669
United States	USA	1971	2.2593
United States	USA	1972	2.0071
United States	USA	1973	1.8748
United States	USA	1974	1.8277
United States	USA	1975	1.7688
United States	USA	1976	1.7371
United States	USA	1977	1.7786
United States	USA	1978	1.7581
United States	USA	1979	1.801
United States	USA	1980	1.8308
United States	USA	1981	1.808
United States	USA	1982	1.8202
United States	USA	1983	1.7951
United States	USA	1984	1.8022
United States	USA	1985	1.835
United States	USA	1986	1.833
United States	USA	1987	1.8667
United States	USA	1988	1.929
United States	USA	1989	2.0051
United States	USA	1990	2.0692
United States	USA	1991	2.0541
United States	USA	1992	2.0389
United States	USA	1993	2.0129
United States	USA	1994	1.9946
United States	USA	1995	1.9716
United States	USA	1996	1.9707
United States	USA	1997	1.9677
United States	USA	1998	1.9921
United States	USA	1999	2.0051
United States	USA	2000	2.0465
United States	USA	2001	2.0272
United States	USA	2002	2.0195
United States	USA	2003	2.0421
United States	USA	2004	2.0479
United States	USA	2005	2.0575
United States	USA	2006	2.1016
United States	USA	2007	2.1118
United States	USA	2008	2.0683
United States	USA	2009	1.9997
United States	USA	2010	1.9325
United States	USA	2011	1.8943
United States	USA	2012	1.8779
United States	USA	2013	1.8558
United States	USA	2014	1.8593
United States	USA	2015	1.8424
United States	USA	2016	1.8127
United States	USA	2017	1.7598
United States	USA	2018	1.7179
United States	USA	2019	1.6892
United States	USA	2020	1.6428
United States	USA	2021	1.6619
Iran	IRN	1950	6.945
Iran	IRN	1951	6.9478
Iran	IRN	1952	6.964
Iran	IRN	1953	6.9802
Iran	IRN	1954	7.0051
Iran	IRN	1955	7.0382
Iran	IRN	1956	7.0797
Iran	IRN	1957	7.1782
Iran	IRN	1958	7.2781
Iran	IRN	1959	7.3799
Iran	IRN	1960	7.301
Iran	IRN	1961	7.2267
Iran	IRN	1962	7.2235
Iran	IRN	1963	7.1812
Iran	IRN	1964	7.1306
Iran	IRN	1965	7.1059
Iran	IRN	1966	7.0747
Iran	IRN	1967	7.0508
Iran	IRN	1968	6.9741
Iran	IRN	1969	6.8994
Iran	IRN	1970	6.7071
Iran	IRN	1971	6.5101
Iran	IRN	1972	6.2502
Iran	IRN	1973	6.1056
Iran	IRN	1974	6.0422
Iran	IRN	1975	6.0083
